2023-10-27 14:14:53.941 [main] INFO  org.example.Main - Start of Execution
2023-10-27 14:15:02.734 [main] INFO  org.example.Main - START OP: Mul
2023-10-27 14:15:02.735 [main] INFO  org.example.Main - END OP: Mul
2023-10-27 14:15:04.759 [main] INFO  org.example.Main - End of Execution
2023-10-27 14:16:07.888 [main] INFO  org.example.Main - START OP: Add
2023-10-27 14:16:07.889 [main] INFO  org.example.Main - END OP: Add
2023-10-27 14:16:07.890 [main] INFO  org.example.Main - START OP: Div
2023-10-27 14:16:07.890 [main] INFO  org.example.Main - END OP: Div
2023-10-27 14:16:07.890 [main] INFO  org.example.Main - START OP: Div
2023-10-27 14:16:07.891 [main] INFO  org.example.Main - END OP: Div
2023-10-27 14:16:07.891 [main] INFO  org.example.Main - START OP: Sub
2023-10-27 14:16:07.891 [main] INFO  org.example.Main - END OP: Sub
2023-10-27 14:16:07.891 [main] INFO  org.example.Main - START OP: Sub
2023-10-27 14:16:07.891 [main] INFO  org.example.Main - END OP: Sub
2023-10-27 14:16:07.891 [main] INFO  org.example.Main - START OP: Mul
2023-10-27 14:16:07.891 [main] INFO  org.example.Main - END OP: Mul
2023-10-27 14:16:07.892 [main] INFO  org.example.Main - START OP: Mul
2023-10-27 14:16:07.892 [main] INFO  org.example.Main - END OP: Mul
2023-10-27 14:16:07.892 [main] INFO  org.example.Main - START OP: Add
2023-10-27 14:16:07.892 [main] INFO  org.example.Main - END OP: Add
